,name,apeal,copy,employment_status,incoms
0,株式会社プログリット,"世界で自由に活躍できる人を増やす／創業4年で10,000人以上受講!",英語学習をチャットで支える【音声添削コーチ】★100％リモート,業務委託,
1,ジャパニアス株式会社,【AIに強み】◇日本ディープラーニング協会加盟◇残業月平均20H,【AIエンジニア】基礎研究・画像解析・自然言語処理・DXなど多数,正社員,500万円～900万円
2,株式会社ノベルワークス,完全週休2日制（土日祝休み）／大阪府緊急雇用対策に賛同,"""今の仕事が物足りないアナタへ！""【ITエンジニア】自社開発あり",正社員,
3,日本アイ・ビー・エムデジタルサービス株式会社,通称:IJDS◆2020年7月に日本IBMグループ3社が合流＆設立◆,IBMグループの【インフラエンジニア(設計/構築/運用/保守など)】,正社員,450万円～800万円
4,株式会社キトー,【東証一部上場】◆完休2日制（土日祝）◆残業月平均20時間以内,国内シェア50%以上を誇るメーカーで活躍！【法人営業】,正社員,400万円～650万円
5,グローリー株式会社,★スタートアップメンバー募集★土日祝休み★残業ほとんどなし,今話題のアプリ「menu」の【営業】未経験OK★在宅勤務＆直行直帰,正社員,350万円～800万円
6,株式会社NSM,エンジニアの成長を第一に考える会社です★SESではありません！,＼自社内・大手直取引案件多数／【開発エンジニア】★未経験歓迎,正社員,360万円～700万円
7,ツクリンク株式会社,「ツクリンク」を運営！2022年に上場を目指すITベンチャー,【法人営業】★フルリモートワーク実施★フレックスタイム制,正社員,300万円～540万円
8,株式会社TERASS,年収2000万も可能/仲介手数料の75％が年収/出社義務無し/副業OK!,フルリモート!売買仲介で売上75％が年収!【不動産エージェント】,業務委託,100万円～2000万円
9,株式会社RevComm,★フルリモート・フルフレックス★土日祝休み／年間休日124日,【カスタマーサクセス】◆AI×音声×クラウドのSaaSサービス◆,正社員,360万円～700万円
10,株式会社ウィズウェイ,自社内開発多数／「ジムに行くから11時出社」もOK！／残業月1h,充実の研修で未経験を応援【ITエンジニア】★テレワーク実施中,正社員,273万円～750万円
11,エックスサーバー株式会社,【XSERVERInc.】毎年売上120％の成長！【大阪府緊急雇用対策】,【Web開発エンジニア】100%自社開発/残業月平均4h/年間休日125日,正社員,390万円～550万円
12,株式会社アンドテック,1998年設立◇大手ベンダー・SIer・ユーザー企業各社と幅広く取引,《リモートワーク》で新しい働き方！【ITエンジニア】★前給保証,正社員,360万円～600万円
13,Trilium株式会社,土日祝休み・年休130日以上・残業月10H以内・在宅勤務/副業OK,エンジニアファーストでなりたい自分が叶う！【Webエンジニア】,正社員,350万円～500万円
14,ｓｍｏｏｔｈ合同会社,バックオフィスの効率化を支援！急成長中のコンサルティング集団,フルリモート勤務！働く場所は不問！【SaaS導入コンサルタント】,正社員,360万円～750万円
15,ギバーテイクオール株式会社,子育て中社員が活躍中／キャリアアップ可能／正社員登用実績あり,フルリモートでキャリアを描ける！【住宅コーディネーター】,契約社員,250万円～350万円
16,株式会社ベネス,環境充実！【在宅勤務／年間休日125日／完全週休2日】,《自宅で開発》ファームウェア～大規模システムの【PG/SE】,正社員,350万円～500万円
17,株式会社リベルタ,★コスメ・日用雑貨・機能衣料・時計等のメーカー★Web面接可能,企画開発経験者採用！即戦力として活躍を期待【企画スタッフ】,正社員,400万円～600万円
18,株式会社有研,創業93年を誇る安定×堅実企業！食品衛生検査全般を取り扱います,裁量を持って働ける【提案営業(男女)】◎未経験歓迎◎土日祝休み,正社員,
19,日本アイ・ビー・エムデジタルサービス株式会社,(通称:IJDS)◆2020年7月に日本IBMグループ3社が合流＆設立,IBMグループの【インフラエンジニア(設計/構築/運用/保守など)】,契約社員,350万円～440万円
20,株式会社Jembatan,(ジェンバタン),【ITエンジニア】業務・面接共にフルリモート対応／月給26万円～,正社員,
21,株式会社エスタイル,AI、データサイエンス領域で上場を視野に成長を続ける！,意欲重視の採用！【人事】※採用業務メイン※未経験OK,正社員,320万円～450万円
22,TeleperformanceJapan株式会社,★大企業の業務を請け負う世界最大級のコールセンターを運営,デリバリーサービスの【カスタマーサポート】★全国OK！完全在宅,契約社員,241万円～324万円
