,商品名,最高値,最安値
0,1000ml　飲む酢　バレンシアオレンジ＋蜜柑（みかん),3780,3780
1,200ml　飲む酢　バレンシアオレンジ＋蜜柑（みかん),864,864
2,上司がゴムを咥えたら ２人の距離は０．０１ｍｍ ３ /オ-クラ出版/蜜柑子,713,496
3,地味で目立たない私は、今日で終わりにします。  ４ /ＫＡＤＯＫＡＷＡ/大森蜜柑,1430,325
4,痛いのは嫌なので防御力に極振りしたいと思います。  ８ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,669
5,地味で目立たない私は、今日で終わりにします。  ３ /ＫＡＤＯＫＡＷＡ/大森蜜柑,1320,427
6,和桜国のレディ～淑女は一日にしてならず～   /ＫＡＤＯＫＡＷＡ/冬村蜜柑,715,150
7,痛いのは嫌なので防御力に極振りしたいと思います。  ３ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,342
8,痛いのは嫌なので防御力に極振りしたいと思います。  ２ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,401
9,上司がゴムを咥えたら ２人の距離は０．０１ｍｍ  /オ-クラ出版/蜜柑子,1456,346
10,蜜柑次郎  ２ /マッグガ-デン/双葉よう,628,110
11,舞踏会／蜜柑   /角川書店/芥川龍之介,524,185
12,カワイ 子供箸 tetoca HiKaRi 蜜柑 一膳,1540,647
13,痛いのは嫌なので防御力に極振りしたいと思います。 ドラマＣＤ付き特装版 １１ 特装版/ＫＡＤＯＫＡＷＡ/夕蜜柑,3520,2100
14,上司がゴムを咥えたら ２人の距離は０．０１ｍｍ ２ /オ-クラ出版/蜜柑子,730,496
15,痛いのは嫌なので防御力に極振りしたいと思います。コミックアンソロジー   /ＫＡＤＯＫＡＷＡ/夕蜜柑,770,278
16,痛いのは嫌なので防御力に極振りしたいと思います。  ７ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,450
17,痛いのは嫌なので防御力に極振りしたいと思います。  ６ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,477
18,痛いのは嫌なので防御力に極振りしたいと思います。  ５ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,457
19,POM(ポン) 蜜柑(350ml*24本入),5909,2073
20,痛いのは嫌なので防御力に極振りしたいと思います。   /ＫＡＤＯＫＡＷＡ/夕蜜柑,14520,312
21,見てる。 スト-カ-  /アスキ-・メディアワ-クス/蜜柑,1100,10
22,蜜柑次郎  １ /マッグガ-デン/双葉よう,628,110
23,青短の蜜柑酒   八木酒造 ,3850,1540
24,痛いのは嫌なので防御力に極振りしたいと思います。  １１ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,990
25,痛いのは嫌なので防御力に極振りしたいと思います。  １０ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,780
26,痛いのは嫌なので防御力に極振りしたいと思います。  ９ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,700
27,POM 蜜柑 コク出し製法果汁使用 350ml,7791,2203
28,痛いのは嫌なので防御力に極振りしたいと思います。  ４ /ＫＡＤＯＫＡＷＡ/夕蜜柑,1320,510
29,香りの記憶 蜜柑 バラ詰(100g),37669,630
